nombre,cx,cy,cz,sx,sy,sz
H06-4,937.93,1077.17,96.73,21.65,86.61,21.65
H05-3,937.93,985.93,71.0,21.65,86.61,21.65
H06-1,937.93,1077.17,19.88,21.65,86.61,21.65
I02-2,915.1,707.93,45.61,21.65,86.61,21.65
I01-4,915.1,616.68,96.73,21.65,86.61,21.65
I01-3,915.1,616.68,71.0,21.65,86.61,21.65
I02-4,915.1,707.93,96.73,21.65,86.61,21.65
H02-3,937.93,707.93,71.0,21.65,86.61,21.65
I02-1,915.1,707.93,19.88,21.65,86.61,21.65
I02-3,915.1,707.93,71.0,21.65,86.61,21.65
H02-4,937.93,707.93,96.73,21.65,86.61,21.65
H02-1,937.93,707.93,19.88,21.65,86.61,21.65
H01-3,937.93,616.68,71.0,21.65,86.61,21.65
H06-3,937.93,1077.17,71.0,21.65,86.61,21.65
I06-4,915.1,1077.17,96.73,21.65,86.61,21.65
H07-3,937.93,1171.09,71.0,21.65,86.61,21.65
I04-2,915.1,893.63,45.61,21.65,86.61,21.65
I04-4,915.1,893.63,96.73,21.65,86.61,21.65
I05-3,915.1,985.93,71.0,21.65,86.61,21.65
H04-3,937.93,893.63,71.0,21.65,86.61,21.65
I03-4,915.1,802.38,96.73,21.65,86.61,21.65
H03-4,937.93,802.38,96.73,21.65,86.61,21.65
H03-2,937.93,802.38,45.61,21.65,86.61,21.65
I03-3,915.1,802.38,71.0,21.65,86.61,21.65
I03-1,915.1,802.38,19.88,21.65,86.61,21.65
H05-1,937.93,985.93,19.88,21.65,86.61,21.65
I03-2,915.1,802.38,45.61,21.65,86.61,21.65
H03-1,937.93,802.38,19.88,21.65,86.61,21.65
H04-2,937.93,893.63,45.61,21.65,86.61,21.65
I05-1,915.1,985.93,19.88,21.65,86.61,21.65
I06-2,915.1,1077.17,45.61,21.65,86.61,21.65
I05-4,915.1,985.93,96.73,21.65,86.61,21.65
A05-2,1521.31,261.51,44.88,35.43,16.54,21.26
A04-2,1521.31,244.18,44.88,35.43,16.54,21.26
A03-2,1521.31,226.86,44.88,35.43,16.54,21.26
A02-2,1521.31,209.54,44.88,35.43,16.54,21.26
A01-2,1521.31,192.21,44.88,35.43,16.54,21.26
A01-1,1520.79,192.85,10.63,35.43,16.54,21.26
A05-1,1520.79,262.14,10.63,35.43,16.54,21.26
A04-1,1520.79,244.82,10.63,35.43,16.54,21.26
A02-1,1520.79,210.17,10.63,35.43,16.54,21.26
A03-1,1520.79,227.5,10.63,35.43,16.54,21.26
A06-1,1520.79,287.5,10.63,35.43,16.54,21.26
A10-1,1520.79,356.79,10.63,35.43,16.54,21.26
A09-1,1520.79,339.47,10.63,35.43,16.54,21.26
A07-1,1520.79,304.82,10.63,35.43,16.54,21.26
A08-1,1520.79,322.14,10.63,35.43,16.54,21.26
A06-2,1520.79,287.5,44.83,35.43,16.54,21.26
A10-2,1520.79,356.79,44.83,35.43,16.54,21.26
A09-2,1520.79,339.47,44.83,35.43,16.54,21.26
A07-2,1520.79,304.82,44.83,35.43,16.54,21.26
A08-2,1520.79,322.14,44.83,35.43,16.54,21.26
A11-2,1521.31,381.69,44.88,35.43,16.54,21.26
A15-2,1521.31,450.98,44.88,35.43,16.54,21.26
A14-2,1521.31,433.65,44.88,35.43,16.54,21.26
A11-1,1520.79,382.32,10.63,35.43,16.54,21.26
A18-2,1520.79,511.62,44.83,35.43,16.54,21.26
A19-2,1520.79,528.94,44.83,35.43,16.54,21.26
A20-2,1520.79,546.26,44.83,35.43,16.54,21.26
A17-2,1520.79,494.29,44.83,35.43,16.54,21.26
A16-2,1520.79,476.97,44.83,35.43,16.54,21.26
A16-1,1520.79,476.97,10.63,35.43,16.54,21.26
A12-2,1521.31,399.01,44.88,35.43,16.54,21.26
A13-2,1521.31,416.33,44.88,35.43,16.54,21.26
A13-1,1520.79,416.97,10.63,35.43,16.54,21.26
A15-1,1520.79,451.61,10.63,35.43,16.54,21.26
A14-1,1520.79,434.29,10.63,35.43,16.54,21.26
A12-1,1520.79,399.64,10.63,35.43,16.54,21.26
A17-1,1520.79,494.29,10.63,35.43,16.54,21.26
A20-1,1520.79,546.26,10.63,35.43,16.54,21.26
A19-1,1520.79,528.94,10.63,35.43,16.54,21.26
A18-1,1520.79,511.62,10.63,35.43,16.54,21.26
A21-2,1519.34,571.43,44.88,35.43,16.54,21.26
A25-2,1519.34,640.72,44.88,35.43,16.54,21.26
A24-2,1519.34,623.4,44.88,35.43,16.54,21.26
A21-1,1518.82,572.06,10.63,35.43,16.54,21.26
A28-2,1518.82,701.36,44.83,35.43,16.54,21.26
A29-2,1518.82,718.68,44.83,35.43,16.54,21.26
A30-2,1518.82,736.0,44.83,35.43,16.54,21.26
A34-2,1519.34,812.87,44.88,35.43,16.54,21.26
A31-1,1518.82,761.54,10.63,35.43,16.54,21.26
A40-2,1518.82,925.47,44.83,35.43,16.54,21.26
A39-2,1518.82,908.15,44.83,35.43,16.54,21.26
A27-2,1518.82,684.04,44.83,35.43,16.54,21.26
A37-2,1518.82,873.51,44.83,35.43,16.54,21.26
A38-2,1518.82,890.83,44.83,35.43,16.54,21.26
A26-2,1518.82,666.71,44.83,35.43,16.54,21.26
A26-1,1518.82,666.71,10.63,35.43,16.54,21.26
A22-2,1519.34,588.75,44.88,35.43,16.54,21.26
A23-2,1519.34,606.07,44.88,35.43,16.54,21.26
A31-2,1519.34,760.9,44.88,35.43,16.54,21.26
A35-2,1519.34,830.19,44.88,35.43,16.54,21.26
A23-1,1518.82,606.71,10.63,35.43,16.54,21.26
A25-1,1518.82,641.36,10.63,35.43,16.54,21.26
A24-1,1518.82,624.03,10.63,35.43,16.54,21.26
A22-1,1518.82,589.39,10.63,35.43,16.54,21.26
A32-1,1518.82,778.86,10.63,35.43,16.54,21.26
A37-1,1518.82,873.51,10.63,35.43,16.54,21.26
A39-1,1518.82,908.15,10.63,35.43,16.54,21.26
A38-1,1518.82,890.83,10.63,35.43,16.54,21.26
A40-1,1518.82,925.47,10.63,35.43,16.54,21.26
A33-2,1519.34,795.55,44.88,35.43,16.54,21.26
A33-1,1518.82,796.18,10.63,35.43,16.54,21.26
A32-2,1519.34,778.22,44.88,35.43,16.54,21.26
A35-1,1518.82,830.83,10.63,35.43,16.54,21.26
A36-2,1518.82,856.18,44.83,35.43,16.54,21.26
A36-1,1518.82,856.18,10.63,35.43,16.54,21.26
A34-1,1518.82,813.5,10.63,35.43,16.54,21.26
A27-1,1518.82,684.04,10.63,35.43,16.54,21.26
A30-1,1518.82,736.0,10.63,35.43,16.54,21.26
A29-1,1518.82,718.68,10.63,35.43,16.54,21.26
A28-1,1518.82,701.36,10.63,35.43,16.54,21.26
A41-2,1519.34,949.39,44.88,35.43,16.54,21.26
A45-2,1519.34,1018.68,44.88,35.43,16.54,21.26
A44-2,1519.34,1001.35,44.88,35.43,16.54,21.26
A41-1,1518.82,950.02,10.63,35.43,16.54,21.26
A48-2,1518.82,1079.32,44.83,35.43,16.54,21.26
A49-2,1518.82,1096.64,44.83,35.43,16.54,21.26
A50-2,1518.82,1113.96,44.83,35.43,16.54,21.26
A54-2,1519.34,1190.82,44.88,35.43,16.54,21.26
A51-1,1518.82,1139.49,10.63,35.43,16.54,21.26
A47-2,1518.82,1061.99,44.83,35.43,16.54,21.26
A46-2,1518.82,1044.67,44.83,35.43,16.54,21.26
A46-1,1518.82,1044.67,10.63,35.43,16.54,21.26
A42-2,1519.34,966.71,44.88,35.43,16.54,21.26
A43-2,1519.34,984.03,44.88,35.43,16.54,21.26
A51-2,1519.34,1138.86,44.88,35.43,16.54,21.26
A55-2,1519.34,1208.15,44.88,35.43,16.54,21.26
A43-1,1518.82,984.67,10.63,35.43,16.54,21.26
A45-1,1518.82,1019.31,10.63,35.43,16.54,21.26
A44-1,1518.82,1001.99,10.63,35.43,16.54,21.26
A42-1,1518.82,967.34,10.63,35.43,16.54,21.26
A52-1,1518.82,1156.81,10.63,35.43,16.54,21.26
A53-2,1519.34,1173.5,44.88,35.43,16.54,21.26
A53-1,1518.82,1174.14,10.63,35.43,16.54,21.26
A52-2,1519.34,1156.18,44.88,35.43,16.54,21.26
A55-1,1518.82,1208.78,10.63,35.43,16.54,21.26
A54-1,1518.82,1191.46,10.63,35.43,16.54,21.26
A47-1,1518.82,1061.99,10.63,35.43,16.54,21.26
A50-1,1518.82,1113.96,10.63,35.43,16.54,21.26
A49-1,1518.82,1096.64,10.63,35.43,16.54,21.26
A48-1,1518.82,1079.32,10.63,35.43,16.54,21.26
B11-2,1374.74,569.19,44.88,35.43,16.54,21.26
B15-2,1374.74,638.48,44.88,35.43,16.54,21.26
B14-2,1374.74,621.16,44.88,35.43,16.54,21.26
B11-1,1374.22,569.83,10.63,35.43,16.54,21.26
B18-2,1374.22,699.12,44.83,35.43,16.54,21.26
B19-2,1374.22,716.44,44.83,35.43,16.54,21.26
B20-2,1374.22,733.77,44.83,35.43,16.54,21.26
B24-2,1374.74,810.63,44.88,35.43,16.54,21.26
B21-1,1374.22,759.3,10.63,35.43,16.54,21.26
B30-2,1374.22,923.24,44.83,35.43,16.54,21.26
B29-2,1374.22,905.92,44.83,35.43,16.54,21.26
B17-2,1374.22,681.8,44.83,35.43,16.54,21.26
B27-2,1374.22,871.27,44.83,35.43,16.54,21.26
B28-2,1374.22,888.59,44.83,35.43,16.54,21.26
B16-2,1374.22,664.48,44.83,35.43,16.54,21.26
B16-1,1374.22,664.48,10.63,35.43,16.54,21.26
B12-2,1374.74,586.51,44.88,35.43,16.54,21.26
B13-2,1374.74,603.84,44.88,35.43,16.54,21.26
B21-2,1374.74,758.66,44.88,35.43,16.54,21.26
B25-2,1374.74,827.95,44.88,35.43,16.54,21.26
B13-1,1374.22,604.47,10.63,35.43,16.54,21.26
B15-1,1374.22,639.12,10.63,35.43,16.54,21.26
B14-1,1374.22,621.8,10.63,35.43,16.54,21.26
B12-1,1374.22,587.15,10.63,35.43,16.54,21.26
B22-1,1374.22,776.62,10.63,35.43,16.54,21.26
B27-1,1374.22,871.27,10.63,35.43,16.54,21.26
B29-1,1374.22,905.92,10.63,35.43,16.54,21.26
B28-1,1374.22,888.59,10.63,35.43,16.54,21.26
B30-1,1374.22,923.24,10.63,35.43,16.54,21.26
B23-2,1374.74,793.31,44.88,35.43,16.54,21.26
B23-1,1374.22,793.94,10.63,35.43,16.54,21.26
B22-2,1374.74,775.99,44.88,35.43,16.54,21.26
B25-1,1374.22,828.59,10.63,35.43,16.54,21.26
B26-2,1374.22,853.95,44.83,35.43,16.54,21.26
B26-1,1374.22,853.95,10.63,35.43,16.54,21.26
B24-1,1374.22,811.27,10.63,35.43,16.54,21.26
B17-1,1374.22,681.8,10.63,35.43,16.54,21.26
B20-1,1374.22,733.77,10.63,35.43,16.54,21.26
B19-1,1374.22,716.44,10.63,35.43,16.54,21.26
B18-1,1374.22,699.12,10.63,35.43,16.54,21.26
B31-2,1375.64,946.63,44.88,35.43,16.54,21.26
B35-2,1375.64,1015.92,44.88,35.43,16.54,21.26
B34-2,1375.64,998.6,44.88,35.43,16.54,21.26
B31-1,1375.12,947.27,10.63,35.43,16.54,21.26
B38-2,1375.12,1076.56,44.83,35.43,16.54,21.26
B39-2,1375.12,1093.89,44.83,35.43,16.54,21.26
B40-2,1375.12,1111.21,44.83,35.43,16.54,21.26
B44-2,1375.64,1188.07,44.88,35.43,16.54,21.26
B41-1,1375.12,1136.74,10.63,35.43,16.54,21.26
B37-2,1375.12,1059.24,44.83,35.43,16.54,21.26
B36-2,1375.12,1041.92,44.83,35.43,16.54,21.26
B36-1,1375.12,1041.92,10.63,35.43,16.54,21.26
B32-2,1375.64,963.96,44.88,35.43,16.54,21.26
B33-2,1375.64,981.28,44.88,35.43,16.54,21.26
B41-2,1375.64,1136.1,44.88,35.43,16.54,21.26
B45-2,1375.64,1205.39,44.88,35.43,16.54,21.26
B33-1,1375.12,981.91,10.63,35.43,16.54,21.26
B35-1,1375.12,1016.56,10.63,35.43,16.54,21.26
B34-1,1375.12,999.24,10.63,35.43,16.54,21.26
B32-1,1375.12,964.59,10.63,35.43,16.54,21.26
B42-1,1375.12,1154.06,10.63,35.43,16.54,21.26
B43-2,1375.64,1170.75,44.88,35.43,16.54,21.26
B43-1,1375.12,1171.38,10.63,35.43,16.54,21.26
B42-2,1375.64,1153.43,44.88,35.43,16.54,21.26
B45-1,1375.12,1206.03,10.63,35.43,16.54,21.26
B44-1,1375.12,1188.71,10.63,35.43,16.54,21.26
B37-1,1375.12,1059.24,10.63,35.43,16.54,21.26
B40-1,1375.12,1111.21,10.63,35.43,16.54,21.26
B39-1,1375.12,1093.89,10.63,35.43,16.54,21.26
B38-1,1375.12,1076.56,10.63,35.43,16.54,21.26
B01-2,1375.64,187.07,44.88,35.43,16.54,21.26
B05-2,1375.64,256.36,44.88,35.43,16.54,21.26
B04-2,1375.64,239.03,44.88,35.43,16.54,21.26
B01-1,1375.12,187.7,10.63,35.43,16.54,21.26
B02-2,1375.64,204.39,44.88,35.43,16.54,21.26
B03-2,1375.64,221.71,44.88,35.43,16.54,21.26
B03-1,1375.12,222.35,10.63,35.43,16.54,21.26
B05-1,1375.12,256.99,10.63,35.43,16.54,21.26
B04-1,1375.12,239.67,10.63,35.43,16.54,21.26
B02-1,1375.12,205.02,10.63,35.43,16.54,21.26
B06-2,1375.64,323.26,44.88,35.43,16.54,21.26
